指标,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月
居民消费价格指数(上年同月=100),100.1,100.0,99.6,99.7,100.2
食品烟酒类居民消费价格指数(上年同月=100),100.1,99.2,97.5,97.4,98.4
衣着类居民消费价格指数(上年同月=100),101.6,101.7,101.8,101.7,101.7
居住类居民消费价格指数(上年同月=100),100.1,100.1,100.1,100.1,100.1
生活用品及服务类居民消费价格指数(上年同月=100),100.7,101.2,101.8,102.2,101.9
交通通信类居民消费价格指数(上年同月=100),96.3,96.9,97.6,98.0,98.5
教育文化娱乐类居民消费价格指数(上年同月=100),101.0,100.9,101.0,100.8,100.9
医疗保健类居民消费价格指数(上年同月=100),100.4,100.5,100.9,101.1,101.4
其他用品及服务类居民消费价格指数(上年同月=100),108.1,108.0,108.6,109.9,112.8
非食品居民消费价格指数(上年同月=100),100.1,100.3,100.5,100.7,100.9
消费品居民消费价格指数(上年同月=100),99.8,99.6,99.0,99.2,99.8
服务居民消费价格指数(上年同月=100),100.5,100.5,100.6,100.6,100.8
不包括食品和能源居民消费价格指数(上年同月=100),100.7,100.8,100.9,101.0,101.2
